"id","artKey","name","type","deck","setId","tier","description","prompt"
"mirror-duelist-female","door.monster.mirror-duelist-female","Mirror Duelist: Venus","monster","door","core","2","A humorous fantasy interpretation of Mirror Duelist: Venus.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Funny but dangerous fantasy creature, absurd and memorable, dynamic pose. Card: Mirror Duelist: Venus. A humorous fantasy interpretation of Mirror Duelist: Venus."
"map-eater","door.monster.map-eater","Map-Eater","monster","door","core","2","A humorous fantasy interpretation of Map-Eater.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Funny but dangerous fantasy creature, absurd and memorable, dynamic pose. Card: Map-Eater. A humorous fantasy interpretation of Map-Eater."
"staircase-centipede","door.monster.staircase-centipede","Staircase Centipede","monster","door","core","2","A humorous fantasy interpretation of Staircase Centipede.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Funny but dangerous fantasy creature, absurd and memorable, dynamic pose. Card: Staircase Centipede. A humorous fantasy interpretation of Staircase Centipede."
"rust-choir","door.monster.rust-choir","Rust Choir","monster","door","core","2","A humorous fantasy interpretation of Rust Choir.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Funny but dangerous fantasy creature, absurd and memorable, dynamic pose. Card: Rust Choir. A humorous fantasy interpretation of Rust Choir."
"grave-lantern","door.monster.grave-lantern","Grave Lantern","monster","door","core","2","A humorous fantasy interpretation of Grave Lantern.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Funny but dangerous fantasy creature, absurd and memorable, dynamic pose. Card: Grave Lantern. A humorous fantasy interpretation of Grave Lantern."
"clockwork-yak","door.monster.clockwork-yak","Clockwork Yak","monster","door","core","3","A humorous fantasy interpretation of Clockwork Yak.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Funny but dangerous fantasy creature, absurd and memorable, dynamic pose. Card: Clockwork Yak. A humorous fantasy interpretation of Clockwork Yak."
"archive-dragon","door.monster.archive-dragon","Archive Dragon","monster","door","core","3","A humorous fantasy interpretation of Archive Dragon.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Funny but dangerous fantasy creature, absurd and memorable, dynamic pose. Card: Archive Dragon. A humorous fantasy interpretation of Archive Dragon."
"midnight-auditor","door.monster.midnight-auditor","Midnight Auditor","monster","door","core","3","A humorous fantasy interpretation of Midnight Auditor.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Funny but dangerous fantasy creature, absurd and memorable, dynamic pose. Card: Midnight Auditor. A humorous fantasy interpretation of Midnight Auditor."
"library-colossus","door.monster.library-colossus","Library Colossus","monster","door","core","3","A humorous fantasy interpretation of Library Colossus.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Funny but dangerous fantasy creature, absurd and memorable, dynamic pose. Card: Library Colossus. A humorous fantasy interpretation of Library Colossus."
"moonlit-leviathan","door.monster.moonlit-leviathan","Moonlit Leviathan","monster","door","core","3","A humorous fantasy interpretation of Moonlit Leviathan.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Funny but dangerous fantasy creature, absurd and memorable, dynamic pose. Card: Moonlit Leviathan. A humorous fantasy interpretation of Moonlit Leviathan."
"curse-shortcut-tax","door.curse.curse-shortcut-tax","Curse! Shortcut Tax","curse","door","core","1","A humorous fantasy interpretation of Curse! Shortcut Tax.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Comical fantasy misfortune or cursed situation, visually obvious and absurd. Card: Curse! Shortcut Tax. A humorous fantasy interpretation of Curse! Shortcut Tax."
"curse-memory-moths","door.curse.curse-memory-moths","Curse! Memory Moths","curse","door","core","1","A humorous fantasy interpretation of Curse! Memory Moths.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Comical fantasy misfortune or cursed situation, visually obvious and absurd. Card: Curse! Memory Moths. A humorous fantasy interpretation of Curse! Memory Moths."
"curse-tangled-bootlaces","door.curse.curse-tangled-bootlaces","Combat Curse! Tangled Bootlaces","combat_curse","door","core","1","A humorous fantasy interpretation of Combat Curse! Tangled Bootlaces.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Comical fantasy misfortune or cursed situation, visually obvious and absurd. Card: Combat Curse! Tangled Bootlaces. A humorous fantasy interpretation of Combat Curse! Tangled Bootlaces."
"curse-hollow-pockets","door.curse.curse-hollow-pockets","Curse! Hollow Pockets","curse","door","core","1","A humorous fantasy interpretation of Curse! Hollow Pockets.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Comical fantasy misfortune or cursed situation, visually obvious and absurd. Card: Curse! Hollow Pockets. A humorous fantasy interpretation of Curse! Hollow Pockets."
"curse-wrong-turn","door.curse.curse-wrong-turn","Curse! Wrong Turn","curse","door","core","1","A humorous fantasy interpretation of Curse! Wrong Turn.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Comical fantasy misfortune or cursed situation, visually obvious and absurd. Card: Curse! Wrong Turn. A humorous fantasy interpretation of Curse! Wrong Turn."
"curse-double-backtrack","door.curse.curse-double-backtrack","Curse! Double Backtrack","curse","door","core","2","A humorous fantasy interpretation of Curse! Double Backtrack.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Comical fantasy misfortune or cursed situation, visually obvious and absurd. Card: Curse! Double Backtrack. A humorous fantasy interpretation of Curse! Double Backtrack."
"curse-career-fog","door.curse.curse-career-fog","Curse! Career Fog","curse","door","core","2","A humorous fantasy interpretation of Curse! Career Fog.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Comical fantasy misfortune or cursed situation, visually obvious and absurd. Card: Curse! Career Fog. A humorous fantasy interpretation of Curse! Career Fog."
"curse-pocket-gravity","door.curse.curse-pocket-gravity","Curse! Pocket Gravity","curse","door","core","2","A humorous fantasy interpretation of Curse! Pocket Gravity.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Comical fantasy misfortune or cursed situation, visually obvious and absurd. Card: Curse! Pocket Gravity. A humorous fantasy interpretation of Curse! Pocket Gravity."
"curse-unread-map","door.curse.curse-unread-map","Curse! Unread Map","curse","door","core","2","A humorous fantasy interpretation of Curse! Unread Map.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Comical fantasy misfortune or cursed situation, visually obvious and absurd. Card: Curse! Unread Map. A humorous fantasy interpretation of Curse! Unread Map."
"curse-echoing-doubt","door.curse.curse-echoing-doubt","Curse! Echoing Doubt","curse","door","core","2","A humorous fantasy interpretation of Curse! Echoing Doubt.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Comical fantasy misfortune or cursed situation, visually obvious and absurd. Card: Curse! Echoing Doubt. A humorous fantasy interpretation of Curse! Echoing Doubt."
"curse-total-recall","door.curse.curse-total-recall","Curse! Total Recall","curse","door","core","3","A humorous fantasy interpretation of Curse! Total Recall.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Comical fantasy misfortune or cursed situation, visually obvious and absurd. Card: Curse! Total Recall. A humorous fantasy interpretation of Curse! Total Recall."
"curse-collapsing-wardrobe","door.curse.curse-collapsing-wardrobe","Curse! Collapsing Wardrobe","curse","door","core","3","A humorous fantasy interpretation of Curse! Collapsing Wardrobe.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Comical fantasy misfortune or cursed situation, visually obvious and absurd. Card: Curse! Collapsing Wardrobe. A humorous fantasy interpretation of Curse! Collapsing Wardrobe."
"guild-of-echoes","door.class.guild-of-echoes","Guild of Echoes","class","door","core","1","A humorous fantasy interpretation of Guild of Echoes.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy character clearly representing this class through clothing, equipment and pose. Card: Guild of Echoes. A humorous fantasy interpretation of Guild of Echoes."
"cartographers-circle","door.class.cartographers-circle","Cartographers' Circle","class","door","core","1","A humorous fantasy interpretation of Cartographers' Circle.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy character clearly representing this class through clothing, equipment and pose. Card: Cartographers' Circle. A humorous fantasy interpretation of Cartographers' Circle."
"scrap-knights","door.class.scrap-knights","Scrap Knights","class","door","core","1","A humorous fantasy interpretation of Scrap Knights.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy character clearly representing this class through clothing, equipment and pose. Card: Scrap Knights. A humorous fantasy interpretation of Scrap Knights."
"lantern-wardens","door.class.lantern-wardens","Lantern Wardens","class","door","core","1","A humorous fantasy interpretation of Lantern Wardens.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy character clearly representing this class through clothing, equipment and pose. Card: Lantern Wardens. A humorous fantasy interpretation of Lantern Wardens."
"lantern-folk","door.race.lantern-folk","Lantern Folk","race","door","core","1","A humorous fantasy interpretation of Lantern Folk.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy character clearly representing this fantasy race, emphasizing its recognizable visual traits. Card: Lantern Folk. A humorous fantasy interpretation of Lantern Folk."
"mosskin","door.race.mosskin","Mosskin","race","door","core","1","A humorous fantasy interpretation of Mosskin.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy character clearly representing this fantasy race, emphasizing its recognizable visual traits. Card: Mosskin. A humorous fantasy interpretation of Mosskin."
"brassborn","door.race.brassborn","Brassborn","race","door","core","1","A humorous fantasy interpretation of Brassborn.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy character clearly representing this fantasy race, emphasizing its recognizable visual traits. Card: Brassborn. A humorous fantasy interpretation of Brassborn."
"nightglimmers","door.race.nightglimmers","Nightglimmers","race","door","core","1","A humorous fantasy interpretation of Nightglimmers.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy character clearly representing this fantasy race, emphasizing its recognizable visual traits. Card: Nightglimmers. A humorous fantasy interpretation of Nightglimmers."
"spatula-of-resolve","treasure.equipment.spatula-of-resolve","Spatula of Resolve","item","treasure","core","1","A humorous fantasy interpretation of Spatula of Resolve.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Fantasy item as the clear main subject, iconic shape, exaggerated humorous design. Card: Spatula of Resolve. A humorous fantasy interpretation of Spatula of Resolve."
"helmet-of-mild-foresight","treasure.equipment.helmet-of-mild-foresight","Helmet of Mild Foresight","item","treasure","core","1","A humorous fantasy interpretation of Helmet of Mild Foresight.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Fantasy item as the clear main subject, iconic shape, exaggerated humorous design. Card: Helmet of Mild Foresight. A humorous fantasy interpretation of Helmet of Mild Foresight."
"boots-of-purposeful-squeaking","treasure.equipment.boots-of-purposeful-squeaking","Boots of Purposeful Squeaking","item","treasure","core","1","A humorous fantasy interpretation of Boots of Purposeful Squeaking.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Fantasy item as the clear main subject, iconic shape, exaggerated humorous design. Card: Boots of Purposeful Squeaking. A humorous fantasy interpretation of Boots of Purposeful Squeaking."
"coat-of-many-pockets","treasure.equipment.coat-of-many-pockets","Coat of Many Pockets","item","treasure","core","1","A humorous fantasy interpretation of Coat of Many Pockets.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Fantasy item as the clear main subject, iconic shape, exaggerated humorous design. Card: Coat of Many Pockets. A humorous fantasy interpretation of Coat of Many Pockets."
"tin-kettle-helm","treasure.equipment.tin-kettle-helm","Tin Kettle Helm","item","treasure","core","1","A humorous fantasy interpretation of Tin Kettle Helm.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Fantasy item as the clear main subject, iconic shape, exaggerated humorous design. Card: Tin Kettle Helm. A humorous fantasy interpretation of Tin Kettle Helm."
"mapmakers-sandals","treasure.equipment.mapmakers-sandals","Mapmaker's Sandals","item","treasure","core","1","A humorous fantasy interpretation of Mapmaker's Sandals.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Fantasy item as the clear main subject, iconic shape, exaggerated humorous design. Card: Mapmaker's Sandals. A humorous fantasy interpretation of Mapmaker's Sandals."
"cardboard-plate-mail","treasure.equipment.cardboard-plate-mail","Cardboard Plate Mail","item","treasure","core","1","A humorous fantasy interpretation of Cardboard Plate Mail.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Fantasy item as the clear main subject, iconic shape, exaggerated humorous design. Card: Cardboard Plate Mail. A humorous fantasy interpretation of Cardboard Plate Mail."
"pocket-cudgel","treasure.equipment.pocket-cudgel","Pocket Cudgel","item","treasure","core","1","A humorous fantasy interpretation of Pocket Cudgel.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Fantasy item as the clear main subject, iconic shape, exaggerated humorous design. Card: Pocket Cudgel. A humorous fantasy interpretation of Pocket Cudgel."
"folding-buckler","treasure.equipment.folding-buckler","Folding Buckler","item","treasure","core","1","A humorous fantasy interpretation of Folding Buckler.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Fantasy item as the clear main subject, iconic shape, exaggerated humorous design. Card: Folding Buckler. A humorous fantasy interpretation of Folding Buckler."
"two-handed-bookmark","treasure.equipment.two-handed-bookmark","Two-Handed Bookmark","item","treasure","core","2","A humorous fantasy interpretation of Two-Handed Bookmark.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Fantasy item as the clear main subject, iconic shape, exaggerated humorous design. Card: Two-Handed Bookmark. A humorous fantasy interpretation of Two-Handed Bookmark."
"compass-crown","treasure.equipment.compass-crown","Compass Crown","item","treasure","core","2","A humorous fantasy interpretation of Compass Crown.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Fantasy item as the clear main subject, iconic shape, exaggerated humorous design. Card: Compass Crown. A humorous fantasy interpretation of Compass Crown."
"deadline-skates","treasure.equipment.deadline-skates","Deadline Skates","item","treasure","core","2","A humorous fantasy interpretation of Deadline Skates.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Fantasy item as the clear main subject, iconic shape, exaggerated humorous design. Card: Deadline Skates. A humorous fantasy interpretation of Deadline Skates."
"tuning-fork-rapier","treasure.equipment.tuning-fork-rapier","Tuning-Fork Rapier","item","treasure","core","2","A humorous fantasy interpretation of Tuning-Fork Rapier.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Fantasy item as the clear main subject, iconic shape, exaggerated humorous design. Card: Tuning-Fork Rapier. A humorous fantasy interpretation of Tuning-Fork Rapier."
"echo-mail","treasure.equipment.echo-mail","Echo Mail","item","treasure","core","2","A humorous fantasy interpretation of Echo Mail.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Fantasy item as the clear main subject, iconic shape, exaggerated humorous design. Card: Echo Mail. A humorous fantasy interpretation of Echo Mail."
"mossy-maul","treasure.equipment.mossy-maul","Mossy Maul","item","treasure","core","2","A humorous fantasy interpretation of Mossy Maul.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Fantasy item as the clear main subject, iconic shape, exaggerated humorous design. Card: Mossy Maul. A humorous fantasy interpretation of Mossy Maul."
